x,y,z,t,u,u_t,u_x,u_y,u_z,u_xx,u_yy,u_zz
0.897912272,0.121670259,0.346153146,0.86447413,0.029611684,-0.081627283,0.006198296,0.027995289,0.013528443,-0.011987625,0.013182079,-0.007104421
0.810860085,0.250729348,0.505960583,0.102117749,0.497937616,-2.423367738,-0.147593612,0.320656616,0.067989004,-0.663313028,-0.500568161,-0.697777927
0.676035425,0.964157057,0.295448723,0.414891025,0.185772116,-0.580816791,0.033368408,0.051078241,0.086536818,-0.133707538,-0.125657159,-0.099390385
0.68176926,0.553246114,0.745214354,0.361623885,0.213475366,-0.738508249,0.031387371,0.116925493,0.020315236,-0.169900332,-0.11047238,-0.172581945
0.476867046,0.928884904,0.86832122,0.749489884,0.078022999,-0.208811419,0.030156559,0.041767311,0.01487755,-0.027375641,-0.016672512,-0.036194535
0.062687851,0.386061584,0.400942034,0.397168179,0.121295718,-0.448100662,0.078201381,0.085116855,0.046502678,-0.043294931,-0.033983612,-0.07588435
0.934249268,0.527602991,0.975703499,0.644405485,0.092832611,-0.257999929,0.010906323,0.065451985,0.008755003,-0.050614951,-0.005749095,-0.051070586
0.835355924,0.487870049,0.899210857,0.562914177,0.111787401,-0.331571902,0.015646268,0.078242823,0.011255781,-0.066567275,-0.01399307,-0.067623862
0.273761219,0.591644498,0.610674873,0.454406273,0.135715973,-0.459705211,0.065568983,0.078720733,0.03311288,-0.064654996,-0.050672394,-0.088254492
0.175274657,0.675779981,0.831934508,0.684826552,0.069572058,-0.200051419,0.03756665,0.044425466,0.013131541,-0.016926443,-0.008843185,-0.034732669
0.883385417,0.366865934,0.0005329,0.500007623,0.089505801,-0.289480254,0.006958839,0.067614937,0.059638584,-0.059128896,-0.0085919,-0.01993216
0.418202337,0.18855144,0.927667203,0.049626554,0.579257629,-2.925029381,0.127038941,0.396997648,-0.36542644,-0.938771327,-0.694547975,-0.736102282
0.803229555,0.922795174,0.82322076,0.321879587,0.282889681,-0.844950486,0.004612773,0.054651745,-0.000331717,-0.247258041,-0.23677503,-0.247332868
0.105187137,0.362979268,0.508734895,0.823839563,0.032443265,-0.092438402,0.018409204,0.026960029,0.012313132,-0.004660307,0.007297316,-0.010433017
0.142131858,0.296522808,0.884552881,0.41273505,0.124175646,-0.431819343,0.072193367,0.096396135,0.002640225,-0.051712375,-0.018853012,-0.093628094
0.12636548,0.693289402,0.230084714,0.655880458,0.060479492,-0.181719161,0.034366865,0.037336377,0.03090455,-0.013852981,-0.010332388,-0.017589623
0.219885414,0.28535664,0.097823638,0.604728733,0.051678034,-0.166343468,0.026749401,0.043051514,0.03043941,-0.016384734,0.005634338,-0.012301235
